,Mano,Chica,Stddev_chica,Chica_value
343,6 4 4 4 (2),2.42742,2.14417,2223.7
882,6 4 4 4 (3),2.42878,2.14426,2223.8
552,6 4 4 4 (4),2.43374,2.14873,2223.9
1082,7 4 4 4 (1),2.42953,2.14248,2224.6
1126,7 4 4 4 (2),2.42835,2.14725,2224.7
839,7 4 4 4 (3),2.42548,2.14111,2224.8
776,7 4 4 4 (4),2.42262,2.14314,2224.9
286,S 4 4 4 (1),2.43167,2.14174,2225.6
828,S 4 4 4 (2),2.42353,2.14638,2225.7
711,S 4 4 4 (3),2.43373,2.14727,2225.8
824,S 4 4 4 (4),2.4345,2.14579,2225.9
963,C 4 4 4 (1),2.42638,2.14109,2226.6
268,C 4 4 4 (2),2.435,2.15366,2226.7
563,C 4 4 4 (3),2.43947,2.14455,2226.8
740,C 4 4 4 (4),2.433,2.14496,2226.9
795,R 4 4 4 (1),2.42913,1.50487,2227.6
306,R 4 4 4 (2),2.423,1.50523,2227.7
525,R 4 4 4 (3),2.42792,1.50888,2227.8
1274,R 4 4 4 (4),2.43189,1.51428,2227.9
647,5 5 4 4 (1),2.43283,1.42344,2232.6
609,5 5 4 4 (2),2.42873,1.42377,2232.7
1299,5 5 4 4 (3),2.42853,1.42036,2232.8
386,5 5 4 4 (4),2.42661,1.422,2232.9
694,6 5 4 4 (1),2.4271,0.868703,2233.6
678,6 5 4 4 (2),2.4292,0.867965,2233.7
1001,6 5 4 4 (3),2.42796,0.867479,2233.8
223,6 5 4 4 (4),2.42686,0.868204,2233.9
1120,7 5 4 4 (1),2.42769,0.867265,2234.6
979,7 5 4 4 (2),2.42427,0.869201,2234.7
943,7 5 4 4 (3),2.42432,0.866112,2234.8
1262,7 5 4 4 (4),2.42402,0.865675,2234.9
472,S 5 4 4 (1),2.42231,0.866704,2235.6
730,S 5 4 4 (2),2.42014,0.864738,2235.7
450,S 5 4 4 (3),2.42107,0.867197,2235.8
198,S 5 4 4 (4),2.41954,0.865877,2235.9
